Experiment ID,Test Date,Deployment Type,Service Name,HTTP Method,Workload Level,VUs,Duration,Run Number,Average Latency (ms),Median Latency (ms),P95 Latency (ms),P99 Latency (ms),Min Latency (ms),Max Latency (ms),Requests per Second,Total Requests,Failed Requests,Error Rate (%),Cold Start Observed (Yes/No),Notes
E1,2026-03-27,VM,cart-service,GET,Low,5,30s,Run 1,303.85,302.83,354.44,381.25,262.12,560.12,3.81,115,0,0,No,
E1,2026-03-27,VM,cart-service,GET,Low,5,30s,Run 2,283.64,272.96,324.43,332.90,258.38,428.52,3.87,120,0,0,No,
E1,2026-03-27,VM,cart-service,GET,Low,5,30s,Run 3,290.91,276.25,336.70,365.97,261.02,373.76,3.82,119,0,0,No,
E1,2026-03-27,Container,cart-service,GET,Low,5,30s,Run 1,372.88,304.55,434.62,1760.00,276.84,1780.00,3.61,110,0,0,Yes,"Noticeable tail-latency spike. Possible reasons: Cloud Run instance startup, platform networking overhead, or temporary autoscaling delay."
E1,2026-03-27,Container,cart-service,GET,Low,5,30s,Run 2,310.50,303.80,343.99,393.78,282.64,394.64,3.80,115,0,0,No,
E1,2026-03-27,Container,cart-service,GET,Low,5,30s,Run 3,316.89,305.22,384.46,398.45,285.73,400.24,3.76,115,0,0,No,
E1,2026-03-27,Serverless,cart-service,GET,Low,5,30s,Run 1,366.56,280.87,477.21,1980.00,269.48,1990.00,3.61,110,0,0,Yes,"Strong tail-latency spike. Possible reasons: cold start, function instance initialization, or temporary platform/network overhead."
E1,2026-03-27,Serverless,cart-service,GET,Low,5,30s,Run 2,284.52,278.26,313.96,350.04,268.08,368.54,3.85,120,0,0,No,
E1,2026-03-27,Serverless,cart-service,GET,Low,5,30s,Run 3,302.15,286.59,351.97,374.78,268.17,374.80,3.82,115,0,0,No,
E2,2026-03-27,VM,cart-service,POST,Low,5,30s,Run 1,436.64,423.26,528.96,616.32,380.05,638.50,3.44,105,0,0,No,
E2,2026-03-27,VM,cart-service,POST,Low,5,30s,Run 2,446.50,435.42,552.53,628.67,382.04,662.44,3.40,105,0,0,No,
E2,2026-03-27,VM,cart-service,POST,Low,5,30s,Run 3,432.19,419.56,508.97,572.48,380.18,634.66,3.45,105,0,0,No,
E2,2026-03-27,Container,cart-service,POST,Low,5,30s,Run 1,676.68,433.63,1750.00,3130.00,406.43,3130.00,2.95,91,0,0,Yes,"Large tail-latency spike during the write test. Possible reasons: Cloud Run startup/scaling overhead, transient DB/network delay, or slower request serialization on the platform."
E2,2026-03-27,Container,cart-service,POST,Low,5,30s,Run 2,439.71,424.89,520.20,560.47,401.18,605.88,3.31,104,0,0,No,
E2,2026-03-27,Container,cart-service,POST,Low,5,30s,Run 3,451.00,433.20,569.44,633.52,401.58,762.19,3.39,105,0,0,No,
E2,2026-03-27,Serverless,cart-service,POST,Low,5,30s,Run 1,483.30,405.51,718.90,1770.00,392.29,1820.00,3.31,103,0,0,Yes,"Noticeable tail-latency spike during the write test. Possible reasons: function startup overhead, transient DB/network delay, or temporary platform initialization."
E2,2026-03-27,Serverless,cart-service,POST,Low,5,30s,Run 2,440.55,419.76,560.60,710.26,390.75,724.67,3.40,107,0,0,No,
E2,2026-03-27,Serverless,cart-service,POST,Low,5,30s,Run 3,410.31,403.26,435.58,550.69,389.52,622.30,3.51,110,0,0,No,
E3,2026-03-27,VM,cart-service,GET,Medium,10,30s,Run 1,287.99,271.57,331.95,339.14,257.91,360.06,7.68,240,0,0,No,
E3,2026-03-27,VM,cart-service,GET,Medium,10,30s,Run 2,288.57,274.15,336.50,344.34,258.00,357.68,7.69,240,0,0,No,
E3,2026-03-27,VM,cart-service,GET,Medium,10,30s,Run 3,284.05,270.83,326.84,341.63,258.10,365.27,7.74,240,0,0,No,
E3,2026-03-27,Container,cart-service,GET,Medium,10,30s,Run 1,361.74,297.52,410.85,1720.00,278.89,2400.00,7.23,227,0,0,Yes,"Noticeable tail-latency spike under medium load. Possible reasons: Cloud Run instance startup, autoscaling delay, or temporary platform/network overhead."
E3,2026-03-27,Container,cart-service,GET,Medium,10,30s,Run 2,341.93,337.61,397.30,403.63,277.26,409.16,7.41,230,0,0,No,
E3,2026-03-27,Container,cart-service,GET,Medium,10,30s,Run 3,344.01,342.68,429.96,448.13,278.82,448.49,7.40,230,0,0,No,
E3,2026-03-27,Serverless,cart-service,GET,Medium,10,30s,Run 1,362.84,279.10,462.93,2700.00,267.21,2940.00,7.22,225,0,0,Yes,"Strong tail-latency spike under medium load. Possible reasons: cold start, function instance initialization, or temporary platform/network overhead."
E3,2026-03-27,Serverless,cart-service,GET,Medium,10,30s,Run 2,280.21,277.99,299.70,317.72,268.23,369.27,7.75,240,0,0,No,
E3,2026-03-27,Serverless,cart-service,GET,Medium,10,30s,Run 3,279.90,276.47,311.75,318.74,267.94,371.58,7.77,240,0,0,No,
