Experiment ID,Deployment Type,Service Name,HTTP Method,Workload Level,VUs,Duration,Run Number,Average Latency (ms),Median Latency (ms),P95 Latency (ms),P99 Latency (ms),Min Latency (ms),Max Latency (ms),Requests per Second,Total Requests,Failed Requests,Error Rate (%),Cold Start Observed (Yes/No),Notes
E1,VM,notification-service,GET,Low,5,30s,Average of 3 sequential runs,326.08,329.42,351.02,365.51,291.94,365.84,3.76,115,0,0,No,
E1,Container,notification-service,GET,Low,5,30s,Average of 3 sequential runs,342.41,324.90,413.04,433.09,305.88,725.40,3.71,115,0,0,Yes,Stable performance with occasional latency spike
E1,Serverless,notification-service,GET,Low,5,30s,Average of 3 sequential runs,358.08,332.54,422.02,760.11,314.38,983.50,3.64,113,0,0,Yes,Cold start caused latency spike (visible in P99)
E2,VM,notification-service,POST,Low,5,30s,Average of 3 sequential runs,323.93,320.31,358.87,382.21,290.85,385.34,3.77,115,0,0,No,
E2,Container,notification-service,POST,Low,5,30s,Average of 3 sequential runs,340.41,327.66,432.37,433.45,302.07,433.61,3.72,115,0,0,No,Stable latency and consistent performance under low load
E2,Serverless,notification-service,POST,Low,5,30s,Average of 3 sequential runs,373.80,367.94,428.27,505.66,316.39,838.50,3.60,111,0,0,Yes,Cold start impact visible in Run1 (higher max latency)
E3,VM,notification-service,GET,Medium,10,30s,Average of 3 sequential runs,23.89,23.67,29.96,31.88,14.74,32.70,9.75,300,0,0,No,
E3,Container,notification-service,GET,Medium,10,30s,Average of 3 sequential runs,29.88,29.28,39.62,44.03,19.30,54.83,9.68,300,0,0,No,"Very stable latency, no cold start impact"
E3,Serverless,notification-service,GET,Medium,10,30s,Average of 3 sequential runs,32.09,25.21,73.87,99.81,20.20,121.50,9.48,294,0,0,Yes,
E4,VM,notification-service,POST,High,30,30s,Average of 3 sequential runs,313.3,308.84,355.11,376.60,282.70,382.24,22.52,700,0,0,No,
E4,Container,notification-service,POST,High,30,30s,Average of 3 sequential runs,618.93,609.45,742.93,841.92,464.66,876.91,18.5,574,0,0,Yes,"Increased latency under high load, but stable throughput"
E4,Serverless,notification-service,POST,High,30,30s,Average of 3 sequential runs,364.85,326.31,493.15,1228.97,313.43,1418.19,21.69,675,0,0,Yes,Cold start + scaling spikes visible in P99 and max latency
